year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2023,200,Ukraine,UKR,UKR,71,Georgia,GEO,GEO,24751,30,3000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,72,Germany,GFR,DEU,1097503,1640,52000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,73,Ghana,GHA,GHA,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,76,Greece,GRE,GRC,27043,70,2000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,78,Guatemala,GUA,GTM,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,84,Croatia,HRV,HRV,23733,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,85,Hungary,HUN,HUN,57401,0,1000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,86,Iceland,ICE,ISL,5425,25,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,88,India,IND,IND,0,66,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,90,Ireland,IRE,IRL,100545,291,2000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,92,Iraq,IRQ,IRQ,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,93,Israel,ISR,ISR,31,306,0,0,0,0,30000,NA,0
2023,200,Ukraine,UKR,UKR,94,Italy,ITA,ITA,164667,1331,17000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,96,Jordan,JOR,JOR,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,97,Japan,JPN,JPN,2077,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,98,Kazakhstan,KAZ,KAZ,68,207,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,100,Kyrgyzstan,KGZ,KGZ,13,22,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,102,Rep. of Korea,KOR,KOR,20,29,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,107,Libya,LBY,LBY,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,109,Lebanon,LEB,LBN,0,19,0,0,0,0,5,NA,0
